# graph=buzzardos-guest	target=x86_64-unknown-linux-gnu	lock_sha256=2da24166e73630e224b55194ac670630a9aa7ff6b20ed7e3e77f8a0ab2a2212f	external_packages=63
name	version	source	checksum	license	normalized_license	repository	vcs_commit	path_in_vcs	notice_files
simd-adler32	0.3.10	registry+https://github.com/rust-lang/crates.io-index	3a219298ac11a56ea9a6d2120044824d6f01aeb034955e7af7bc16858527deea	MIT	MIT	https://github.com/mcountryman/simd-adler32	d93164f98d7fe2daf883f2e1bec82778dd26199a		LICENSE.md@sha256:42a35170233e83e18856792e748de4c1ce4a63b2afce9a370c89ef3fe23f9f2d
smallvec	1.15.2	registry+https://github.com/rust-lang/crates.io-index	8ed6a63f02c8539c91a8685a86f4099661ba3da017932f6ebbea6de3f0fa7c90	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/servo/rust-smallvec	c469051a1ba05ef1a03dd69e14b4a5aa329e6f10		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:0b28172679e0009b655da42797c03fd163a3379d5cfa67ba1f1655e974a2a1a9
syn	2.0.119	registry+https://github.com/rust-lang/crates.io-index	872831b642d1a07999a962a351ed35b955ea2cfc8f3862091e2a240a84f17297	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/dtolnay/syn	3295f9e9841785ac88a5e558c884854d5fb7d67f		LICENSE-APACHE@sha256:62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
syn	3.0.3	registry+https://github.com/rust-lang/crates.io-index	53e9bae58849f64dfa4f5d5ae372c8341f7305f82a3868709269343628b659a3	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/dtolnay/syn	23dbaab4b0c43f56cd803894054cf366661e53b0		LICENSE-APACHE@sha256:62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
thiserror	2.0.20	registry+https://github.com/rust-lang/crates.io-index	ec86235f5fcc2a73650310756d2ac5b138a5780bbbdfae3eeccec992c435ba4f	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/dtolnay/thiserror	b1d5db5e039275d95bf7536a2b2192aeb4dc28bf		LICENSE-APACHE@sha256:62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
thiserror-impl	2.0.20	registry+https://github.com/rust-lang/crates.io-index	bc04cd3e1236dd4a98afca4569f2deb3f120e5422a4023be2cb683f8486292af	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/dtolnay/thiserror	b1d5db5e039275d95bf7536a2b2192aeb4dc28bf	impl	LICENSE-APACHE@sha256:62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
tiff	0.10.3	registry+https://github.com/rust-lang/crates.io-index	af9605de7fee8d9551863fd692cce7637f548dbd9db9180fcc07ccc6d26c336f	MIT	MIT	https://github.com/image-rs/image-tiff	695208cffe1ba8623fe4576584bcc87e13b63b65		LICENSE@sha256:20c097d0de27e2adc179140a3d542091951a030699c7e1c78655f2a2d08d4e3e;tests/COPYRIGHT@sha256:c341a79df284be8a0321dabda4aa1aeea053b55b4e0db827940c221fcaf29b7b
tree_magic_mini	3.2.2	registry+https://github.com/rust-lang/crates.io-index	b8765b90061cba6c22b5831f675da109ae5561588290f9fa2317adab2714d5a6	MIT	MIT	https://github.com/mbrubeck/tree_magic/	75bf1b01dc81d5c0b3377a3202792fa83097872c		LICENSE@sha256:a7cea8a5a56ba02950d098a7c56eed312fc745ceecd437e4aad2f7f8d38661b8
unicode-ident	1.0.24	registry+https://github.com/rust-lang/crates.io-index	e6e4313cd5fcd3dad5cafa179702e2b244f760991f45397d14d4ebf38247da75	(MIT OR Apache-2.0) AND Unicode-3.0	(MIT OR Apache-2.0) AND Unicode-3.0	https://github.com/dtolnay/unicode-ident	5b54a632702b5744a1c40ea01c127c0ac0498172		LICENSE-APACHE@sha256:62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3;LICENSE-UNICODE@sha256:f7db81051789b729fea528a63ec4c938fdcb93d9d61d97dc8cc2e9df6d47f2a1
wayland-backend	0.3.16	registry+https://github.com/rust-lang/crates.io-index	016ccf01d1c58b6f8999612813e17c9b2390f7d70671428869913310f83f54b8	MIT	MIT	https://github.com/smithay/wayland-rs	05196740da57e41b60a9e9f8e35079e9bd29b89a	wayland-backend	LICENSE.txt@sha256:1cb6f4dee8c649f175736380495f0af0c753c87f22d50931692968bb24bf2161
