libshout3:amd64	2.4.6-1+b6
libsigc++-3.0-0:amd64	3.6.0-3
libslang2:amd64	2.3.3-6
libsm6:amd64	2:1.2.6-1+b2
libsmartcols1:amd64	2.42.2-2
libsnappy1v5:amd64	1.2.2-2+b2
libsndfile1:amd64	1.2.2-4+b1
libsodium26:amd64	1.0.22-2
libsord-0-0:amd64	0.16.22-1
libsoundtouch1:amd64	2.4.1+ds-1
libsoup-3.0-0:amd64	3.6.6-1
libsoup-3.0-common	3.6.6-1
libsoxr0:amd64	0.1.3-4.1+b1
libspa-0.2-modules:amd64	1.6.8-1
libspandsp2t64:amd64	0.0.6+dfsg-2.2+b2
libspeex1:amd64	1.2.1-3+b2
libspeexdsp1:amd64	1.2.1-4
libsqlite3-0:amd64	3.53.4-2
libsquashfuse0:amd64	0.5.2-0.3+b1
libsratom-0-0:amd64	0.6.22-1
libsrt1.5-gnutls:amd64	1.5.6-1
libsrtp2-1:amd64	2.8.0+ds-1
libssh-4:amd64	0.12.2-1
libssh2-1t64:amd64	1.11.1-5
libssl3t64:amd64	3.6.3-1
libstartup-notification0:amd64	0.12-8+b2
libstdc++6:amd64	16.1.0-3
libsvtav1enc4:amd64	4.1.0+dfsg-1
libswresample6:amd64	7:8.1.2-2+b1
libswscale9:amd64	7:8.1.2-2+b1
libsystemd-shared:amd64	261.2-1
libsystemd0:amd64	261.2-1
libtag2:amd64	2.3.1-2
libtasn1-6:amd64	4.21.0-2+b1
libtdb1:amd64	2:1.4.15+samba4.24.5+dfsg-1
libtensorflow-lite2.14.1:amd64	2.14.1+dfsg-3.1+b1
libthai-data	0.1.30-3
libthai0:amd64	0.1.30-3
libtheora1:amd64	1.2.0+dfsg-6+b2
libtheoradec2:amd64	1.2.0+dfsg-6+b2
libtheoraenc2:amd64	1.2.0+dfsg-6+b2
libthunarx-3-0:amd64	4.20.9-1
libtiff6:amd64	4.7.2-1
libtinfo6:amd64	6.6+20260608-2
libtirpc-common	1.3.7+ds-1
libtirpc3t64:amd64	1.3.7+ds-1
libts0t64:amd64	1.22-1.1+b2
libtwolame0:amd64	0.4.0-3
libuchardet0:amd64	0.0.8-2+b2
libudev1:amd64	261.2-1
libudfread3:amd64	1.2.0-3
